architecture,split,scope_type,scope_value,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
online,validation,layer,1,18,9,9,0.41975308641975306,0.5421516754850089,0.5555555555555556,0.5555555555555556,1.0,0.1111111111111111,0.19999999999999998,0.0,0.8888888888888888,1,9,0,8
online,validation,layer,2,4,2,2,0.5,0.75,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,2,0,2
online,validation,layer,3,6,3,3,0.1111111111111111,0.4111111111111111,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,3
online,validation,layer,4,8,4,4,0.3125,0.5821428571428571,0.625,0.625,1.0,0.25,0.4,0.0,0.75,1,4,0,3
online,validation,layer,5,8,4,4,0.625,0.7095238095238094,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,4,0,4
online,validation,layer,6,6,3,3,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,1,3,0,2
online,validation,layer,7,12,6,6,0.25,0.4115740740740741,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,6,0,6
online,validation,layer,8,10,5,5,0.36,0.5688888888888889,0.6,0.6,1.0,0.2,0.33333333333333337,0.0,0.8,1,5,0,4
online,validation,layer,9,14,7,7,0.6326530612244898,0.6908686551543695,0.5714285714285714,0.5714285714285714,1.0,0.14285714285714285,0.25,0.0,0.8571428571428571,1,7,0,6
online,validation,layer,10,2,1,1,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,1,0,1
online,validation,layer,11,4,2,2,0.5,0.5833333333333333,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,2,0,2
online,validation,layer,12,6,3,3,0.6666666666666666,0.7555555555555555,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,1,3,0,2
online,validation,layer,13,14,7,7,0.6122448979591837,0.746031746031746,0.5714285714285714,0.5714285714285714,1.0,0.14285714285714285,0.25,0.0,0.8571428571428571,1,7,0,6
online,validation,layer,14,20,10,10,0.64,0.708011384040796,0.6,0.6,0.75,0.3,0.4285714285714285,0.1,0.7,3,9,1,7
